id;scientific name;scientific name authorship;genus;family;order and higher taxonomic rank;decimal Longitude;decimal Latitude;depth;year;campaign;reference;vessel;basisOfRecord;
198;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;68.286667;-50.146667;255;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
200;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;68.413333;-50.108333;207;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
202;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;68.438333;-50.080000;198;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
204;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;68.483333;-50.066667;195;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
208;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;68.520000;-48.620000;125;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
212;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;68.751667;-48.733333;95;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
213;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;68.808333;-49.925000;155;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
217;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;69.066667;-48.016667;177;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
222;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;69.305000;-49.690000;110;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
226;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;69.743333;-49.740000;103;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
227;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;69.786667;-49.913333;120;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
230;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;69.820000;-50.045000;166;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
244;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;70.283333;-49.785000;131;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
245;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;70.330000;-49.850000;145;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
247;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;70.370000;-49.488333;44;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
248;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;70.406667;-49.908333;168;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
249;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;70.441667;-49.933333;245;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
252;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;70.553333;-49.480000;75;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
253;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;70.576667;-50.033333;346;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
258;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;70.675000;-49.496667;96;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
259;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;70.688333;-49.056667;76;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
266;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;70.760000;-49.006667;84;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
268;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;70.846667;-48.943333;95;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
274;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;70.908333;-49.510000;140;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
275;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;70.933333;-49.500000;147;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
276;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;70.941667;-49.553333;155;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
319;Pourtalesia_debilis;Koehler 1926;Pourtalesia A. Agassiz 1869;Pourtalesiidae Loven 1883;Holasteroida Durham & Melville 1957;67.541667;-48.116667;365;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
320;Pourtalesia_debilis;Koehler 1926;Pourtalesia A. Agassiz 1869;Pourtalesiidae Loven 1883;Holasteroida Durham & Melville 1957;68.413333;-50.108333;207;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
2;Abatus_cordatus;(Verrill 1876);Abatus Troschel 1851;Schizasteridae Lambert 1905;Spatangoida L. Agassiz 1840;67.885000;-48.328333;185;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
4;Abatus_cordatus;(Verrill 1876);Abatus Troschel 1851;Schizasteridae Lambert 1905;Spatangoida L. Agassiz 1840;68.520000;-48.620000;125;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
5;Abatus_cordatus;(Verrill 1876);Abatus Troschel 1851;Schizasteridae Lambert 1905;Spatangoida L. Agassiz 1840;68.775000;-49.455000;68;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
6;Abatus_cordatus;(Verrill 1876);Abatus Troschel 1851;Schizasteridae Lambert 1905;Spatangoida L. Agassiz 1840;68.780000;-49.456667;63;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
7;Abatus_cordatus;(Verrill 1876);Abatus Troschel 1851;Schizasteridae Lambert 1905;Spatangoida L. Agassiz 1840;68.791667;-49.155000;140;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
8;Abatus_cordatus;(Verrill 1876);Abatus Troschel 1851;Schizasteridae Lambert 1905;Spatangoida L. Agassiz 1840;68.808333;-49.925000;155;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
9;Abatus_cordatus;(Verrill 1876);Abatus Troschel 1851;Schizasteridae Lambert 1905;Spatangoida L. Agassiz 1840;68.835000;-49.461667;35;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
11;Abatus_cordatus;(Verrill 1876);Abatus Troschel 1851;Schizasteridae Lambert 1905;Spatangoida L. Agassiz 1840;68.870000;-48.803333;65;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
12;Abatus_cordatus;(Verrill 1876);Abatus Troschel 1851;Schizasteridae Lambert 1905;Spatangoida L. Agassiz 1840;68.870000;-48.806667;60;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
14;Abatus_cordatus;(Verrill 1876);Abatus Troschel 1851;Schizasteridae Lambert 1905;Spatangoida L. Agassiz 1840;69.018333;-49.038333;30;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
15;Abatus_cordatus;(Verrill 1876);Abatus Troschel 1851;Schizasteridae Lambert 1905;Spatangoida L. Agassiz 1840;69.018333;-49.038333;31;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
17;Abatus_cordatus;(Verrill 1876);Abatus Troschel 1851;Schizasteridae Lambert 1905;Spatangoida L. Agassiz 1840;69.036667;-48.683333;18;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
18;Abatus_cordatus;(Verrill 1876);Abatus Troschel 1851;Schizasteridae Lambert 1905;Spatangoida L. Agassiz 1840;69.036667;-48.683333;17;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
21;Abatus_cordatus;(Verrill 1876);Abatus Troschel 1851;Schizasteridae Lambert 1905;Spatangoida L. Agassiz 1840;69.058333;-48.673333;48;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
23;Abatus_cordatus;(Verrill 1876);Abatus Troschel 1851;Schizasteridae Lambert 1905;Spatangoida L. Agassiz 1840;69.061103;-49.104949;30;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
24;Abatus_cordatus;(Verrill 1876);Abatus Troschel 1851;Schizasteridae Lambert 1905;Spatangoida L. Agassiz 1840;69.061103;-49.104949;35;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
28;Abatus_cordatus;(Verrill 1876);Abatus Troschel 1851;Schizasteridae Lambert 1905;Spatangoida L. Agassiz 1840;69.151667;-48.883333;125;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
32;Abatus_cordatus;(Verrill 1876);Abatus Troschel 1851;Schizasteridae Lambert 1905;Spatangoida L. Agassiz 1840;69.340000;-49.590000;21;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
33;Abatus_cordatus;(Verrill 1876);Abatus Troschel 1851;Schizasteridae Lambert 1905;Spatangoida L. Agassiz 1840;69.341667;-49.586667;18;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
